name, description
新人ぷに狩人, ぷに族のモンスターを初めて討伐する
新人ぷに狩人Lv2, ぷに族のモンスターを累計10体討伐する
新人ぷに狩人Lv3, ぷに族のモンスターを累計20体討伐する
新人ぷに狩人Lv4, ぷに族のモンスターを累計30体討伐する
新人ぷに狩人皆伝, ぷに族のモンスターを累計40体討伐する
ぷに狩人, ぷに族のモンスターを累計50体討伐する
ぷに狩人Lv2, ぷに族のモンスターを累計60体討伐する
ぷに狩人Lv3, ぷに族のモンスターを累計70体討伐する
ぷに狩人Lv4, ぷに族のモンスターを累計80体討伐する
ぷに狩人皆伝, ぷに族のモンスターを累計90体討伐する
ぷに闘士, ぷに族のモンスターを累計100体討伐する
ぷに闘士Lv2, ぷに族のモンスターを累計150体討伐する
ぷに闘士Lv3, ぷに族のモンスターを累計200体討伐する
ぷに闘士Lv4, ぷに族のモンスターを累計250体討伐する
ぷに闘士皆伝, ぷに族のモンスターを累計300体討伐する
ぷに達人, ぷに族のモンスターを累計400体討伐する
ぷに達人Lv2, ぷに族のモンスターを累計450体討伐する
ぷに達人Lv3, ぷに族のモンスターを累計500体討伐する
ぷに達人Lv4, ぷに族のモンスターを累計550体討伐する
ぷに達人皆伝, ぷに族のモンスターを累計600体討伐する
ぷにマスター, ぷに族のモンスターを累計1000体討伐する
新人エレメント狩人, エレメント族のモンスターを累計1体討伐する
新人エレメント狩人Lv2, エレメント族のモンスターを累計10体討伐する
新人エレメント狩人Lv3, エレメント族のモンスターを累計20体討伐する
新人エレメント狩人Lv4, エレメント族のモンスターを累計30体討伐する
新人エレメント狩人皆伝, エレメント族のモンスターを累計40体討伐する
エレメント狩人, エレメント族のモンスターを累計50体討伐する
エレメント狩人Lv2, エレメント族のモンスターを累計60体討伐する
エレメント狩人Lv3, エレメント族のモンスターを累計70体討伐する
エレメント狩人Lv4, エレメント族のモンスターを累計80体討伐する
エレメント狩人皆伝, エレメント族のモンスターを累計90体討伐する
エレメント闘士, エレメント族のモンスターを累計100体討伐する
エレメント闘士Lv2, エレメント族のモンスターを累計150体討伐する
エレメント闘士Lv3, エレメント族のモンスターを累計200体討伐する
エレメント闘士Lv4, エレメント族のモンスターを累計250体討伐する
エレメント狩人皆伝, エレメント族のモンスターを累計300体討伐する
エレメント達人, エレメント族のモンスターを累計400体討伐する
エレメント達人Lv2, エレメント族のモンスターを累計450体討伐する
エレメント達人Lv3, エレメント族のモンスターを累計500体討伐する
エレメント達人Lv4, エレメント族のモンスターを累計550体討伐する
エレメント達人皆伝, エレメント族のモンスターを累計600体討伐する
エレメントマスター, エレメント族のモンスターを累計1000体討伐する
見習い錬金術士, アカデミーの錬金術士になる
駆け出し錬金術士, 錬金LvがLv5になる
駆け出し錬金術士Lv2, 錬金LvがLv10になる
駆け出し錬金術士Lv3, 錬金LvがLv15になる
駆け出し錬金術士Lv4, 錬金LvがLv20になる
駆け出し錬金術士卒業, 錬金LvがLv25になる
新人ウーズ狩人, ウーズ族のモンスターを初めて討伐する
新人ウーズ狩人Lv2, ウーズ族のモンスターを累計10体討伐する
新人ウーズ狩人Lv3, ウーズ族のモンスターを累計20体討伐する
新人ウーズ狩人Lv4, ウーズ族のモンスターを累計30体討伐する
新人ウーズ狩人皆伝, ウーズ族のモンスターを累計40体討伐する
ウーズ狩人, ウーズ族のモンスターを累計50体討伐する
ウーズ狩人Lv2, ウーズ族のモンスターを累計60体討伐する
ウーズ狩人Lv3, ウーズ族のモンスターを累計70体討伐する
ウーズ狩人Lv4, ウーズ族のモンスターを累計80体討伐する
ウーズ狩人皆伝, ウーズ族のモンスターを累計90体討伐する
ウーズ闘士, ウーズ族のモンスターを累計100体討伐する
ウーズ闘士Lv2, ウーズ族のモンスターを累計150体討伐する
ウーズ闘士Lv3, ウーズ族のモンスターを累計200体討伐する
ウーズ闘士Lv4, ウーズ族のモンスターを累計250体討伐する
ウーズ闘士皆伝, ウーズ族のモンスターを累計300体討伐する
ウーズ達人, ウーズ族のモンスターを累計400体討伐する
ウーズ達人Lv2, ウーズ族のモンスターを累計450体討伐する
ウーズ達人Lv3, ウーズ族のモンスターを累計500体討伐する
ウーズ達人Lv4, ウーズ族のモンスターを累計550体討伐する
ウーズ達人皆伝, ウーズ族のモンスターを累計600体討伐する
ウーズマスター, ウーズ族のモンスターを累計1000体討伐する
新人ウォルフ狩人, ウォルフ族のモンスターを初めて討伐する
新人ウォルフ狩人Lv2, ウォルフ族のモンスターを累計10体討伐する
新人ウォルフ狩人Lv3, ウォルフ族のモンスターを累計20体討伐する
新人ウォルフ狩人Lv4, ウォルフ族のモンスターを累計30体討伐する
新人ウォルフ狩人皆伝, ウォルフ族のモンスターを累計40体討伐する
