name, value
行動不能, 1
マニュアルアイテム使用禁止, 1
スキル使用禁止, 1
HP回復禁止, 1
防御値半減, 1
状態異常耐性半減, 1
スリップダメージ(毒), 0.1
スリップダメージ(火傷), 0.15
自然治癒時ダメージ, 0.2
命中率DOWN・近(超), 50
命中率DOWN・遠(超), 50
すばやさDOWN(スロウ), 0.5
すばやさUP(微), 0.1
すばやさUP(微+), 0.11
すばやさUP(小), 0.12
すばやさUP(小+), 0.13
すばやさUP(中), 0.14
すばやさUP(中+), 0.15
すばやさUP(大), 0.16
すばやさUP(大+), 0.17
すばやさUP(超), 0.18
すばやさUP(超+), 0.19
物理攻撃UP(微), 0.1
物理攻撃UP(微+), 0.15
物理攻撃UP(小), 0.2
物理攻撃UP(小+), 0.25
物理攻撃UP(中), 0.3
物理攻撃UP(中+), 0.35
物理攻撃UP(大), 0.4
物理攻撃UP(大+), 0.45
物理攻撃UP(超), 0.5
物理攻撃UP(超+), 0.55
魔法攻撃UP(微), 0.1
魔法攻撃UP(微+), 0.15
魔法攻撃UP(小), 0.2
魔法攻撃UP(小+), 0.25
魔法攻撃UP(中), 0.3
魔法攻撃UP(中+), 0.35
魔法攻撃UP(大), 0.4
魔法攻撃UP(大+), 0.45
魔法攻撃UP(超), 0.5
魔法攻撃UP(超+), 0.55
物理防御UP(微), 0.1
物理防御UP(微+), 0.15
物理防御UP(小), 0.2
物理防御UP(小+), 0.25
物理防御UP(中), 0.3
物理防御UP(中+), 0.35
物理防御UP(大), 0.4
物理防御UP(大+), 0.45
物理防御UP(超), 0.5
物理防御UP(超+), 0.55
魔法防御UP(微), 0.1
魔法防御UP(微+), 0.15
魔法防御UP(小), 0.2
魔法防御UP(小+), 0.25
魔法防御UP(中), 0.3
魔法防御UP(中+), 0.35
魔法防御UP(大), 0.4
魔法防御UP(大+), 0.45
魔法防御UP(超), 0.5
魔法防御UP(超+), 0.55
命中率UP(微), 10
命中率UP(微+), 15
命中率UP(小), 20
命中率UP(小+), 25
命中率UP(中), 30
命中率UP(中+), 35
命中率UP(大), 40
命中率UP(大+), 45
命中率UP(超), 50
命中率UP(超+), 55
回避率UP(微), 10
回避率UP(微+), 15
回避率UP(小), 20
回避率UP(小+), 25
回避率UP(中), 30
