name, description, effectValue, effectValue2
ダンシングブレード, オーラを剣に纏い200%のダメージを与える, 2, 0
マジックアッパー, 魔力で作りだした拳で200%のダメージを与える, 2, 0
ビルドアップ, 闘志を燃やし、物理攻撃UP(微)を付与する, 0, 0
ディフェンダー, 盾を構え、物理防御UP(微)を付与する, 0, 0
ファイアブレード, 炎のオーラを剣に纏い300%のダメージを与える, 3, 0
アクアブレード, 水のオーラを剣に纏い300%のダメージを与える, 3, 0
グランドブレード, 土のオーラを剣に纏い300%のダメージを与える, 3, 0
ウインドブレード, 風のオーラを剣に纏い300%のダメージを与える, 3, 0
ヒートスタンプ, , 3, 0
スピアスラッシャー, 槍で衝撃波を放ち、300%のダメージを与える, 3, 0
ファイアスラッシャー, 槍で炎の衝撃波を放ち、200%のダメージを与える, 2, 0
ウインドスラッシュ, 槍で風の衝撃波を放ち、200%のダメージを与える, 2, 0
アクアインパルス, 槍で強力な水の衝撃波を放ち、400%のダメージを与える, 4, 0
グランドインパルス, 槍で強力な土の衝撃波を放ち、380%のダメージを与える, 3.8, 0
ウインドインパルス, 槍で強力な風の衝撃波を放ち、400%のダメージを与える, 4, 0
ファイアインパクト, 槍に炎のオーラを込めて叩きつけ、300%のダメージを与える, 3, 0
アクアインパクト, 槍に水のオーラを込めて叩きつけ、300%のダメージを与える, 3, 0
グランドインパクト, 槍に土のオーラを込めて叩きつけ、300%のダメージを与える, 3, 0
ウインドインパクト, 槍に風のオーラを込めて叩きつけ、300%のダメージを与える, 3, 0
グランドスイング, 大地の力を纏った武器を振りおろし350%のダメージを与える, 3.5, 0
アップルドロップ, 大きなリンゴに変化させた武器を落とし200%のダメージを与える, 2, 0
ファイアフラワドロップ, 燃えるように赤い花に変化させた武器を落とし250%のダメージを与える, 2.5, 0
マグロドロップ, 大きなマグロに変化させた武器を落とし250%のダメージを与える, 2.5, 0
グランドドロップ, 大きな花に変化させた武器を落とし250%のダメージを与える, 2.5, 0
バルーンドロップ, 巨大なバルーンに変化させた武器を落とし250%のダメージを与える, 2.5, 0
ティンクルドロップ, お星様に変化させた武器を落とし300%のダメージを与える, 3, 0
マジックスパイク, 魔力で作りだした巨大な拳で200%のダメージを与える, 2, 0
フレイムスパイク, 炎から作りだした巨大な拳で300%のダメージを与える, 3, 0
アクアスパイク, 氷から作りだした巨大な拳で300%のダメージを与える, 3, 0
グラビティアッパー, 大地から作りだした巨大な拳で300%のダメージを与える, 3, 0
ウインドスパイク, 竜巻から作りだした巨大な拳で300%のダメージを与える, 3, 0
マジックスマッシュ, 魔力で作りだした剛腕で300%のダメージを与える, 3, 0
ファイアスウォーム, 炎を帯びた岩を呼び出し、350%のダメージを与える, 3.5, 0
アクアスウォーム, 冷気を帯びた岩を呼び出し、320%のダメージを与える, 3.2, 0
ガイアスウォーム, 地の奥深くから岩を呼び出し、320%のダメージを与える, 3.2, 0
